model_name,language,field_name,cases,matching_cases,mismatched_cases,field_accuracy
gpt_5_6_sol,all,company,14034,14032,2,0.999857488955
gpt_5_6_sol,all,__schema_contract__,14034,14034,0,1
gpt_5_6_sol,en,din,7017,7017,0,1
gpt_5_6_sol,en,brand_name,7017,7017,0,1
gpt_5_6_sol,en,active_ingredients,7017,7011,6,0.999144933732
gpt_5_6_sol,en,dosage_forms,7017,7016,1,0.999857488955
gpt_5_6_sol,en,routes,7017,7017,0,1
gpt_5_6_sol,en,schedule,7017,7017,0,1
gpt_5_6_sol,en,product_status,7017,7017,0,1
gpt_5_6_sol,en,company,7017,7016,1,0.999857488955
gpt_5_6_sol,en,__schema_contract__,7017,7017,0,1
gpt_5_6_sol,fr,din,7017,7017,0,1
gpt_5_6_sol,fr,brand_name,7017,7017,0,1
gpt_5_6_sol,fr,active_ingredients,7017,7014,3,0.999572466866
gpt_5_6_sol,fr,dosage_forms,7017,7017,0,1
gpt_5_6_sol,fr,routes,7017,7016,1,0.999857488955
gpt_5_6_sol,fr,schedule,7017,7017,0,1
gpt_5_6_sol,fr,product_status,7017,7017,0,1
gpt_5_6_sol,fr,company,7017,7016,1,0.999857488955
gpt_5_6_sol,fr,__schema_contract__,7017,7017,0,1
